frame,label,confidence,x,y,time
0,moc1,0.873,817,662,2025-10-31T15:34:56.887804+00:00
0,moc3,0.7661,127,666,2025-10-31T15:34:56.887804+00:00
0,songoku,0.7627,450,396,2025-10-31T15:34:56.887804+00:00
0,moc2,0.7407,691,402,2025-10-31T15:34:56.887804+00:00
0,dog,0.5547,362,541,2025-10-31T15:34:56.887804+00:00
0,moc4,0.4534,346,417,2025-10-31T15:34:56.887804+00:00
1,moc1,0.853,818,661,2025-10-31T15:34:56.983315+00:00
1,songoku,0.8125,449,395,2025-10-31T15:34:56.983315+00:00
1,moc3,0.772,127,667,2025-10-31T15:34:56.983315+00:00
1,moc2,0.769,691,400,2025-10-31T15:34:56.983315+00:00
1,dog,0.583,362,540,2025-10-31T15:34:56.998038+00:00
2,moc1,0.8501,817,662,2025-10-31T15:34:57.035885+00:00
2,moc2,0.7891,692,399,2025-10-31T15:34:57.035885+00:00
2,moc3,0.7812,127,667,2025-10-31T15:34:57.035885+00:00
2,songoku,0.7583,448,394,2025-10-31T15:34:57.035885+00:00
2,dog,0.5371,362,539,2025-10-31T15:34:57.037890+00:00
2,moc4,0.3647,345,420,2025-10-31T15:34:57.037890+00:00
3,moc1,0.8335,817,662,2025-10-31T15:34:57.074507+00:00
3,songoku,0.79,449,396,2025-10-31T15:34:57.076513+00:00
3,moc3,0.7842,126,666,2025-10-31T15:34:57.076513+00:00
3,moc2,0.7417,692,398,2025-10-31T15:34:57.076513+00:00
3,dog,0.646,362,541,2025-10-31T15:34:57.077518+00:00
4,moc1,0.8188,817,663,2025-10-31T15:34:57.116561+00:00
4,songoku,0.8159,448,395,2025-10-31T15:34:57.116561+00:00
4,moc3,0.7788,127,666,2025-10-31T15:34:57.116561+00:00
4,moc2,0.7515,692,400,2025-10-31T15:34:57.116561+00:00
4,dog,0.626,362,540,2025-10-31T15:34:57.118567+00:00
4,moc4,0.3398,345,416,2025-10-31T15:34:57.118567+00:00
5,moc1,0.8301,817,663,2025-10-31T15:34:57.140336+00:00
5,songoku,0.8203,449,395,2025-10-31T15:34:57.156447+00:00
